Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
CUS_0x1000,Alistair Barrf,"17,375",913-74-1218,Lawyer,"30625,94","2706,16166666667",6,5,27,2,"Credit-Builder Loan, and Home Equity Loan","62,25",25,"1,88","10,875",Bad,"1562,91","33,4775464678306","10,4583333333333",Yes,"42,9410904224694","158,549735188899",High_spent_Medium_value_payments,"335,375341055298",0
CUS_0x1009,Arunah,"25,75",063-67-6938,Mechanic,"52312,68","4250,39",6,5,17,4,"Not Specified, Home Equity Loan, Credit-Builder Loan, and Payday Loan","7,25","17,8571428571429","9,73",3,Standard,"202,68","29,839983992516","30,7142857142857",Yes,"108,366467125256","146,679377871438",High_spent_Medium_value_payments,"428,743155003307",1
CUS_0x100b,Shirboni,"18,5",238-62-0395,Media_Manager,"113781,39","9549,7825",1,4,1,0,,"13,5","7,375","10,9114285714286","1,85714285714286",Good,"1030,2","34,8414491163","15,5714285714286",No,0,"505,386526436011",High_spent_Large_value_payments,"781,22977629059",0
CUS_0x1011,Schneyerh,"43,875",793-05-8223,Doctor,"58918,47","5208,8725",3,3,17,3,"Student Loan, Credit-Builder Loan, and Debt Consolidation Loan","27,25","14,5","14,17",7,Standard,"473,14","27,655896723264","15,5416666666667",Yes,"123,434938796343","311,060914286167",Low_spent_Medium_value_payments,"332,642837492323",1
CUS_0x1013,Cameront,"43,75",930-49-9615,Mechanic,"98620,98","7962,415",3,3,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan","12,5","8,42857142857143","1,705",3,Good,"1233,51","31,9339400548679","17,5357142857143",No,"228,018083652734","355,442407633833",High_spent_Medium_value_payments,"472,781008713433",1
CUS_0x1015,Holtono,27,810-97-7024,Journalist,"46951,02","3725,585",7,4,16,0,,8,"9,125","16,4014285714286","7,75",Standard,"340,22","35,1828834089276","21,1547619047619",Yes,0,"263,812274264488",Low_spent_Medium_value_payments,"398,217748679184",2
CUS_0x1018,Felsenthalq,15,731-19-8119,Accountant,"61194,81","5014,5675",7,7,23,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan","23,375","21,7142857142857","28,63",8,Bad,"2773,09","28,2936405013648","13,9583333333333",Yes,"225,368691376448","225,456923276604",High_spent_Medium_value_payments,"320,631135346949",0
CUS_0x1026,Josephv,"51,5",500-62-9044,Manager,"170614,28","14463,8566666667",2,6,9,2,"Payday Loan, and Auto Loan","-1,125","2,25","0,73",3,Good,"849,69","37,1882779956215","20,3809523809524",No,"208,907479382016","340,627976171024",High_spent_Medium_value_payments,"1170,60558088906",1
CUS_0x102d,Neil Chatterjeex,"30,375",692-71-7552,Entrepreneur,"89064,52","7256,04333333333",5,3,1,1,Mortgage Loan,"5,375","5,28571428571429","6,62",3,Good,"648,36","33,9273287410027","29,952380952381",No,"37,5727505807942","384,920144926764",Low_spent_Medium_value_payments,"573,111437825776",2
CUS_0x102e,Rhysn,"25,75",352-23-4930,Scientist,"50807,44","4197,95333333333",8,4,11,4,"Mortgage Loan, Not Specified, Home Equity Loan, and Home Equity Loan","12,125","9,57142857142857","3,1",4,Standard,"869,59","34,2752536221476","22,5833333333333",Yes,"88,7599192474836","112,067830035502",High_spent_Medium_value_payments,"473,967584050348",1
CUS_0x1032,Wahbap,40,620-58-8045,Lawyer,"60410,94","5274,245",4,7,17,4,"Student Loan, Home Equity Loan, Not Specified, and Payday Loan","23,625",9,"8,07857142857143","7,5",Standard,"1852,86","30,3980182846895","15,9880952380952",Yes,"149,926387382663","262,456785109881",Low_spent_Small_value_payments,"385,041327507456",1
CUS_0x1037,Matthewm,"44,375",230-22-9583,Accountant,"15989,085","1086,42375",5,4,2,4,"Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan","11,75","15,25","0,5","2,875",Good,"665,82","33,3140985167125","19,4583333333333",No,"33,7970206298811","94,4989420726256",Low_spent_Small_value_payments,"266,596412297493",2
CUS_0x1038,B.h,"27,25",355-00-7832,Architect,"129473,16","10959,43",3,4,10,3,"Payday Loan, Payday Loan, and Home Equity Loan","25,375","13,5","8,46714285714286","9,25",Standard,"568,21","35,2131593380205","19,7083333333333",Yes,"255,327904990979","536,102721897419",High_spent_Medium_value_payments,"573,262373111602",1
CUS_0x103e,Tim Kellyf,40,155-72-8070,Scientist,"98690,8","8262,23333333333",4,6,9,1,Student Loan,"6,125","17,6666666666667","9,26",3,Good,"706,96","34,4987982565476","26,6190476190476",No,"55,0044075692919","383,396587495806",Low_spent_Small_value_payments,"657,822338268236",0
CUS_0x1041,Jonathan Stempela,"14,75",675-80-2033,Teacher,"8978,11","894,175833333333",8,8,30,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan","48,875","16,875","18,23","9,57142857142857",Bad,"4913,15","32,0535722584619","10,1071428571429",Yes,"57,6796579068197","36,4196966484069",High_spent_Medium_value_payments,"260,306030896686",1
CUS_0x1044,Maki Shirakip,44,261-18-4430,Entrepreneur,"33441,59","2748,79916666667",2,4,1,0,,2,4,"10,58","3,85714285714286",Good,"154,96","30,5761938771102","31,625",No,0,"155,258866992659",High_spent_Medium_value_payments,"380,871049674007",1
CUS_0x1048,Janet McGurtyg,"26,8571428571429",808-81-2470,Accountant,"42387,54","3680,295",3,7,26,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan","9,25","8,125","13,84",7,Standard,"1835,67","31,5025582181869","9,72619047619048",Yes,"225,883368970478","201,72734343479",High_spent_Medium_value_payments,"213,00586986039",0
CUS_0x104a,Leahk,"36,8333333333333",652-58-5852,Mechanic,"14981,39","1461,44916666667",2,7,5,4,"Mortgage Loan, Auto Loan, Not Specified, and Payday Loan","1,375","6,28571428571429","1,0975",4,Good,"1122,46","33,2779509848108","31,9583333333333",No,"38,1159675194286","81,288912684535",High_spent_Medium_value_payments,"296,740036462703",1
CUS_0x104e,Kentaros,50,837-93-5062,Teacher,"19180,87","1688,40583333333",8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan","5,625",17,"9,07","4,125",Standard,"1127,57","30,9247912868757","24,875",No,"57,3642110096024","98,5308377763249",Low_spent_Small_value_payments,"285,445534547406",1
CUS_0x104f,Markm,"19,7142857142857",264-84-8069,Architect,"11336,835","992,73625",4,6,14,6,"Auto Loan, Payday Loan, Student Loan, Auto Loan, Auto Loan, and Personal Loan","29,375","19,125","15,44",7,Standard,"177,98","31,157403571419","14,5833333333333",Yes,"35,5627308625021","56,0587284055005",Low_spent_Small_value_payments,"270,658622369253",1
CUS_0x1051,Lucia Mutikanin,"41,4285714285714",232-33-7638,Engineer,"35022,22","2859,51833333333",3,5,4,1,Student Loan,"5,25","11,125","2,11428571428571","3,57142857142857",Good,"1000,44","30,7954186854417","28,2083333333333",No,"21,2145764523206","171,312585522866",High_spent_Large_value_payments,"371,282755233579",2
CUS_0x1056,Hornbyb,44,081-93-4350,Entrepreneur,"16053,86","1196,82166666667",8,6,24,5,"Student Loan, Student Loan, Not Specified, Personal Loan, and Debt Consolidation Loan","25,625","16,1428571428571","1,705","8,5",Bad,"2107,76","35,6987684784312","15,8809523809524",Yes,"44,860290543366","88,9772695094717",Low_spent_Small_value_payments,"267,094606613829",0
CUS_0x1057,David Sheppardv,"45,625",741-07-3912,Writer,"86617,16","7250,09666666667",8,4,6,3,"Auto Loan, Student Loan, and Payday Loan","16,75",20,"11,01",4,Standard,"718,53","33,5810628785225","24,625",No,"141,382054634308","418,139736161636",High_spent_Large_value_payments,"588,754556249331",1
CUS_0x105b,Patricia Zengerlel,24,066-65-6008,Accountant,"34428,21","2467,98357509617",2,4,8,0,,"3,875","12,1428571428571","8,51",0,Good,"180,7","35,0011552814687","27,25",No,"122,324485604372","100,196830828717",High_spent_Medium_value_payments,"422,304919171283",2
CUS_0x105c,Lopezz,54,998-18-7252,Journalist,"127617,6","10596,8",0,4,5,3,"Not Specified, Mortgage Loan, and Payday Loan","5,625",6,"9,595",0,Good,"542,91","33,0948045069496","24,0714285714286",No,"211,054605997517","335,551543687234",High_spent_Medium_value_payments,"719,88874979767",1
